,ID,Label,Network,x,y,z,colors
88,89,LH_DorsAttn_FEF_4,DorsAttn,-22,6,64,#3C9F4D
89,90,LH_DorsAttn_PrCv_1,DorsAttn,-50,6,26,#3C9F4D
90,91,LH_DorsAttn_PrCv_2,DorsAttn,-50,2,38,#3C9F4D
91,92,LH_SalVentAttn_ParOper_1,VentAttn,-54,-32,22,#E586E5
92,93,LH_SalVentAttn_ParOper_2,VentAttn,-58,-44,28,#E586E5
93,94,LH_SalVentAttn_ParOper_3,VentAttn,-62,-24,32,#E586E5
94,95,LH_SalVentAttn_ParOper_4,VentAttn,-62,-36,34,#E586E5
95,96,LH_SalVentAttn_TempOcc_1,VentAttn,-58,-54,10,#E586E5
96,97,LH_SalVentAttn_FrOperIns_1,VentAttn,-44,6,-16,#E586E5
97,98,LH_SalVentAttn_FrOperIns_2,VentAttn,-38,2,-4,#E586E5
98,99,LH_SalVentAttn_FrOperIns_3,VentAttn,-32,24,0,#E586E5
99,100,LH_SalVentAttn_FrOperIns_4,VentAttn,-40,-14,-2,#E586E5
100,101,LH_SalVentAttn_FrOperIns_5,VentAttn,-32,18,8,#E586E5
101,102,LH_SalVentAttn_FrOperIns_6,VentAttn,-36,4,10,#E586E5
102,103,LH_SalVentAttn_FrOperIns_7,VentAttn,-44,12,2,#E586E5
103,104,LH_SalVentAttn_FrOperIns_8,VentAttn,-50,2,4,#E586E5
104,105,LH_SalVentAttn_FrOperIns_9,VentAttn,-52,8,14,#E586E5
105,106,LH_SalVentAttn_PFCl_1,VentAttn,-28,44,30,#E586E5
106,107,LH_SalVentAttn_Med_1,VentAttn,-6,22,32,#E586E5
107,108,LH_SalVentAttn_Med_2,VentAttn,-6,0,40,#E586E5
108,109,LH_SalVentAttn_Med_3,VentAttn,-12,-28,42,#E586E5
109,110,LH_SalVentAttn_Med_4,VentAttn,-6,10,48,#E586E5
110,111,LH_SalVentAttn_Med_5,VentAttn,-12,-42,48,#E586E5
111,112,LH_SalVentAttn_Med_6,VentAttn,-6,-48,56,#E586E5
112,113,LH_SalVentAttn_Med_7,VentAttn,-8,-2,70,#E586E5
113,114,LH_Limbic_OFC_1,Limbic,-12,24,-20,#F6EFD1
114,115,LH_Limbic_OFC_2,Limbic,-24,22,-20,#F6EFD1
115,116,LH_Limbic_OFC_3,Limbic,-10,48,-22,#F6EFD1
116,117,LH_Limbic_OFC_4,Limbic,-4,24,-20,#F6EFD1
117,118,LH_Limbic_OFC_5,Limbic,-16,64,-8,#F6EFD1
118,119,LH_Limbic_TempPole_1,Limbic,-38,-6,-42,#F6EFD1
119,120,LH_Limbic_TempPole_2,Limbic,-24,6,-40,#F6EFD1
120,121,LH_Limbic_TempPole_3,Limbic,-26,-10,-32,#F6EFD1
121,122,LH_Limbic_TempPole_4,Limbic,-54,-22,-30,#F6EFD1
122,123,LH_Limbic_TempPole_5,Limbic,-40,-22,-26,#F6EFD1
123,124,LH_Limbic_TempPole_6,Limbic,-44,12,-34,#F6EFD1
124,125,LH_Limbic_TempPole_7,Limbic,-32,12,-30,#F6EFD1
125,126,LH_Limbic_TempPole_8,Limbic,-20,-20,-26,#F6EFD1
126,127,LH_Cont_Par_1,Control,-28,-74,42,#FDB841
127,128,LH_Cont_Par_2,Control,-58,-42,46,#FDB841
128,129,LH_Cont_Par_3,Control,-54,-50,44,#FDB841
129,130,LH_Cont_Par_4,Control,-34,-62,48,#FDB841
130,131,LH_Cont_Par_5,Control,-42,-52,48,#FDB841
131,132,LH_Cont_Par_6,Control,-44,-42,46,#FDB841
132,133,LH_Cont_Temp_1,Control,-60,-48,-10,#FDB841
133,134,LH_Cont_OFC_1,Control,-26,50,-14,#FDB841
134,135,LH_Cont_PFCl_1,Control,-42,48,-6,#FDB841
135,136,LH_Cont_PFCl_2,Control,-48,36,10,#FDB841
136,137,LH_Cont_PFCl_3,Control,-38,50,10,#FDB841
137,138,LH_Cont_PFCl_4,Control,-28,56,12,#FDB841
138,139,LH_Cont_PFCl_5,Control,-42,38,22,#FDB841
139,140,LH_Cont_PFCl_6,Control,-44,20,26,#FDB841
140,141,LH_Cont_PFCl_7,Control,-40,8,34,#FDB841
141,142,LH_Cont_PFCl_8,Control,-36,32,38,#FDB841
142,143,LH_Cont_PFCv_1,Control,-34,16,-8,#FDB841
143,144,LH_Cont_pCun_1,Control,-10,-78,46,#FDB841
144,145,LH_Cont_pCun_2,Control,-4,-64,52,#FDB841
145,146,LH_Cont_Cing_1,Control,-4,6,28,#FDB841
146,147,LH_Cont_Cing_2,Control,-4,-22,30,#FDB841
147,148,LH_Cont_PFCmp_1,Control,-4,28,48,#FDB841
148,149,LH_Default_Temp_1,Default Mode,-54,-2,-30,#D77C7C
